E,N,U
0.0,0.0,0.0
-2.8791095943628076,-0.0490006544547299,-0.2098510853828357
-9.714357778221782,-0.052007418315441534,0.04796600458924377
-18.471602957441007,-0.07602681692686097,0.10706709699063788
-27.570832377911437,-0.10805974750081226,0.2098517582186601
-36.94875672620908,-0.13610730638932367,0.29721897536843844
-46.72418203941333,-0.1941715948383731,0.3897256625841783
-57.129169884503504,-0.18525653464045888,0.5430470457438696
-67.19217268537497,-0.2203548740681569,0.6843772186591801
-76.82436335095497,-0.2814639138804651,0.8077203011207175
-86.10457695430799,-0.28858275741267647,0.865966290000638
-96.39963964223885,-0.3357304498673841,1.0090105363615685
-106.20615321259595,-0.36088664675424553,1.2479883067266409
-116.77879934172566,-0.4480719322733364,1.2257197709393957
-127.36921151917852,-0.47827520393915535,1.4843992209506647
-137.66871379622847,-0.5484897651555798,1.558064501061085
-148.2369185305742,-0.5817272760495484,1.7088196529668203
-160.21303262820115,-0.6150176624100538,1.898120423562439
-170.7046229745397,-0.6632905793405399,2.0600116563579034
-180.57331396770104,-0.6745630999529055,2.2390342578401246
-189.94901386581517,-0.7038361340416799,2.2518853226295423
-199.35691396860346,-0.7121240586090352,2.439474043754897
-209.08459207242484,-0.7024363820164723,2.573100187890301
-219.54287181601921,-0.7257887388842192,2.6767473445099466
-230.7306444052631,-0.7341846779194867,2.711013662697935
-240.63930609810544,-0.7555518010854883,2.7958167451644726
-250.412505152287,-0.8019291659214787,3.176134077332538
-260.5554477377618,-0.8243365879490483,3.350877265784808
-271.0847882456582,-0.8387766670044243,3.573588732122566
-281.6352256181448,-0.8392350667970163,3.71578361516514
-291.94471867277394,-0.8536999384386377,3.9136556311791537
-301.90223511879793,-0.8481648338220111,4.147503871853868
-311.75982132755894,-0.8356403848827085,4.322249376625038
-321.8117141634409,-0.8641415542575999,5.172829584879505
-333.0372334056731,-0.9037206148054509,6.597316035174611
-343.3011992106041,-0.932268219044289,8.31646674083227
-353.03442157790585,-0.9728037918226562,10.301159268325787
-362.88200829164305,-0.995362301077364,12.747551018723907
-372.8506211834832,-0.9979451376537725,15.63165978153032
