E,N,U
0.6961971197241015,0.25198268073161467,-14.857450552679339
-5.555013198715843,0.18398063545897525,-14.710138423170251
-11.482004201488332,0.19897278009947872,-14.67503185091929
-15.30601260172175,0.1749648590997781,-14.618507708663794
-18.63814034287092,0.07195597890712868,-14.614231141417314
-22.628699735722893,0.07594335318196244,-14.474623182486424
-28.30364311390299,0.02092060376671334,-14.489194914315393
-34.79024517167037,0.05888886978490504,-14.297342606403017
-41.713209684203974,0.01484729811430796,-14.273372314127924
-49.416742731340605,-0.01920756809675339,-14.134627058035665
-57.58661762108784,-0.07527622745083207,-14.112371924961048
-66.89348024255423,-0.08436692703128301,-13.951359102264059
-75.29763663373531,-0.12146056625210377,-13.822892844872676
-97.5688154746066,-0.275762750614156,-13.63706226617333
-102.31107524272548,-0.1768369326615229,-13.487175339748323
-108.94979097351458,-0.24994716584582477,-13.48975650250628
-116.2902423219421,-0.25107676684442026,-13.326168805216408
-127.4413760159671,-0.2952900934701006,-13.189140266111998
-130.8356824090235,-0.29335879888775196,-13.09406913633929
-136.86371097925513,-0.37348545877517836,-13.010993919974979
-143.42692302546536,-0.4426297694816128,-12.87738300745096
-168.85035249748552,-0.45925317026929235,-12.590480239501883
-172.56998868804698,-0.44035237037832076,-12.276131087638735
-178.6191146536611,-0.4445193120852906,-12.263292443864039
-185.71973113231257,-0.45672268862762166,-12.289856995092329
-194.5880077591093,-0.45698721988847524,-12.00463792713283
-203.16648436276674,-0.48525554770222357,-12.086024251784915
-211.91928744748813,-0.4155409820735514,-12.026935653576015
-220.57882054532945,-0.400834861296417,-11.770838030415916
-229.38603153008182,-0.2941463408103573,-11.77941734939203
-238.42307875324707,-0.3044782391390868,-11.578139303410026
-248.4838666828145,-0.09586289942230053,-11.384571754957935
-256.7969693283543,-0.188193111780933,-11.429981790703387
-264.612645797545,-0.15051286138967157,-11.125913196205328
-272.7481050581164,0.016143731281658802,-11.021424336759951
-288.45497229505725,0.3354518899836023,-10.45782638395399
-295.56558563346636,0.40512611889118944,-10.076663526601449
-303.3523939227612,0.44676005571997734,-9.771735379052153
-312.1940293287074,0.5943328663032048,-9.401708770610329
-320.17070552147044,0.6299370567913058,-8.960584758809034
-328.25397855218216,0.7465259202703578,-8.366133752466009
-336.04524488204675,1.0921200786610825,-7.612358986545114
-344.3783424474469,1.1606755090211607,-6.660714352482386
-352.70590539935836,1.5352203839658785,-5.487215145913575
-380.53323128729716,1.7236190038213408,1.0690086722329895
-385.33988582810525,1.6903291638493556,2.7735995459569587
-388.47547898565114,1.6361378900026011,3.874303820402762
-412.51873013649515,1.4206100288623702,14.037649334052535
-426.93868419910814,1.4416384751595501,21.324624021558645
-429.01501306110606,1.422494826491004,22.481873144485697
-434.00153503176125,1.4141461110629905,25.286341763540555
-439.6120593212851,1.3367465324523948,28.68357213877871
-445.91099740113145,1.378288572098171,32.75322988520964
-451.56259992221595,1.32486870276,36.65928291254755
-457.0354455143107,1.407454221288674,40.57305082631817
-462.4660853952062,1.35803408513965,44.71810163440695
-467.62802775831415,1.3836279363221422,48.65928937077402
-473.45283485763287,1.4081594523480874,53.3739857661553
-479.2620841307472,1.3526783428428075,58.634335350813004
-484.7004821408354,1.3442182833974812,63.65227549426152
-489.80355413451,1.324775980579119,68.62139401271983
-495.7626801888231,1.2892441035686488,74.8779823289665
-500.98898604410465,1.3077633573716696,80.73283211928062
-505.7922471564384,1.2933082356888406,86.4669053133213
-510.7165389485024,1.4238304001046629,92.49308707128915
-515.1544921450635,1.4563851364091818,98.346237379579
-519.2115871794132,1.3729647815603698,104.0597628106019
-523.6572950893867,1.4204903296000566,110.60933712031598
-528.0208222471068,1.4030071805050284,117.46900366386429
-532.2688665431322,1.4355165571190582,124.67645439290143
-536.2037908770203,1.4670441879329132,131.74685260370694
-539.7067882684103,1.467602887718101,138.60224425317782
-544.6542504284339,1.3449459501019874,149.05108590988118
-547.5809656690262,1.35152937907759,155.9750090054825
-550.4687961179003,1.2810952853309914,163.37006262403492
-553.1878521925557,1.2456674870761617,170.70944004294708
-555.8902249684525,1.13021454210525,178.6578604153918
-558.2395227021617,1.1787894036942248,186.33731076874517
-560.0569487591683,1.092401009816399,194.01674839020507
-561.5345992893967,0.9490338361330259,201.6653411949565
-562.7923890150665,0.83666599477516,209.6377255521527
-563.8180815163546,0.6812792859177534,218.4667019909182
-564.5828315613687,0.5209006270229111,227.37276625936312
-565.0555514774308,0.3795324542635399,236.35848716713798
-565.4205296273906,0.2231286825331722,246.18881030773764
-565.5112752826557,0.08277287034786696,255.05116975527847
-565.4154816708259,-0.008574518965133393,263.8133026793274
-565.3818613376523,-0.13493050143830487,272.36556937401235
-565.3915434883424,-0.24029342346875637,280.7276734441821
-565.4900449563479,-0.4016675510414984,288.9210282993083
-565.5608028665802,-0.4100376571611264,296.8548398480794
-565.5504700517447,-0.48843634698914684,305.3317279861232
-565.481322831466,-0.5217943721360712,312.8569355200154
-565.47653344441,-0.6052029472787126,321.09825878883646
-565.3196132023581,-0.7516087236048179,329.341285249047
-565.1893527878104,-0.7760158312037788,337.36331639517226
-564.9536078433362,-0.8594101757057047,345.13606933260013
-564.8388922905555,-0.8868182027320017,352.7906197712554
-564.9872664733158,-0.9653166624963205,361.46967026103925
-564.7503400858011,-0.9618055639173235,370.3705658289776
-564.6988040164396,-0.9453557059781588,379.81626692402176
-564.5673704586475,-0.9688382412373358,388.03788339147496
-564.4825612418246,-0.8923474054731741,396.4513860065476
-564.4088728101309,-0.8258355945322933,404.3432206166102
-564.3118687209562,-0.7563203022313587,412.06202145397907
-564.2481302844416,-0.6918608438542151,420.44297374931654
-564.0844773684036,-0.5563809296704676,428.48728237680535
-563.8521948475735,-0.3009871253865981,452.0865524702096
-563.736156696292,-0.05767872313583666,461.8963196526272
-563.7435612632559,0.13185881816377787,468.2385833348573
-563.444471957411,0.20838690557127393,474.9885605480484
-563.321915533045,0.41487244140648727,482.0006771877532
-562.9938553737029,0.5452748277796786,490.23428344138983
-561.7662274617932,0.8685037354330802,501.56358963203536
-561.0096504722997,0.9940330563348425,508.3615080264293
-560.0765182314336,1.1545604412346506,515.2853361363331
-558.7514172287999,1.2451064303165253,522.3093523836102
-557.2364462970465,1.312668791300439,529.2399823033385
-555.5027506707585,1.392263079687325,535.9238954221651
-553.3492992547335,1.490834077025113,543.2236706583292
-551.0670711519346,1.5324486326114197,550.042020636631
-548.8170630698232,1.5870825533593802,556.5134486395261
-546.0451428973684,1.5697043850545924,563.5467552326583
-542.8490731671341,1.6073553104628786,570.5594717648029
-539.7463099472782,1.606046459560389,576.9365923724688
-536.6690956028174,1.6007476756066126,583.0935645089154
-532.9633738914213,1.59943279665805,589.9152010873846
-528.8256798119543,1.6010905948036793,597.312428917953
-525.2021705106608,1.6058206731586893,603.3776865336094
-521.0379043735618,1.5945682793027345,609.641623536084
-516.9602550916487,1.6183152588513394,615.7470943980788
-513.0081078869879,1.6160926858250946,621.3488902147309
-508.2386951096345,1.6258642437763058,627.6007677341976
-503.15838266383105,1.6036541081046494,633.8183449811262
-498.40122377325514,1.6274643218604012,639.479161620425
-493.9094907056856,1.6003211077279786,644.3896155134762
-488.27069680757177,1.6141618452569162,650.2559245351981
-482.5775108309946,1.6380183203655179,655.908074114051
-476.9332108969376,1.6759022772187961,661.1619074825179
-471.42438771308036,1.66979376349164,666.157907489574
-465.1060915706584,1.6866944851338133,671.547005276077
-458.33588779131463,1.6956225926105617,676.8829451309423
-452.03652072051307,1.7075736361438203,681.5816182069901
-444.7244761620997,1.6545366094958638,686.7384587500094
-437.2414844203041,1.7045483984305179,691.437012772477
-429.9006357070298,1.6965703388929398,695.8417563167912
-423.0539401438632,1.7006129787553448,699.6529263762574
-416.4304633200271,1.6896837104437168,702.9887057394533
-409.3150842915309,1.625756823399513,706.5111627475309
-401.4935291170882,1.6438595071359714,710.0798121880434
-392.9402604010495,1.5930028136206147,713.5858483099441
-385.7205831913572,1.5911398161340173,716.3090944346501
-377.66370685162633,1.4943208921523592,718.9996963068241
-369.4691722163373,1.4075273730807965,721.4358774871878
-361.82319415780785,1.3657479571461124,723.3710137032986
-354.3015910174957,1.2619769327845347,725.0851545389387
-345.7485135501287,1.1372909087249354,726.4634149932994
-340.29890564126606,1.085510244309745,727.1181710950187
-331.55600724793135,0.9568715958413634,727.9987399224129
-323.2039755968601,0.8152345816501736,728.5846819648098
-314.72316382264637,0.7276124790235201,728.9993026258093
-305.3229970021795,0.6200308731631026,729.3470202480174
-295.9728059807445,0.4974463383920238,729.5782468157569
-287.10230843255556,0.40185724369285936,729.5397029846125
-278.7381282301459,0.3382351770670198,729.4875060053615
-270.5116239887418,0.27458892157105197,729.4995646074575
-260.447493690694,0.14999208630052863,729.6467784866145
-251.55034020742443,0.0703437474623172,729.7024559450931
-243.25832278223132,-0.009338584126936667,729.7444858676691
-235.54590488122867,-0.11004915293425199,729.7514494517293
-226.83863515989046,-0.16672147214845268,729.6529664853584
-217.6583604572493,-0.23138999412873318,729.5587206219126
-208.3726069748356,-0.31806341555898143,729.4216345386982
-199.8618661495099,-0.33878194148499574,729.3480152481886
-191.81413696355557,-0.37052492164355044,729.2667298905682
-182.61610166675933,-0.44523751648809196,729.120232223667
-173.15602318007745,-0.4379629201029047,729.0319650297965
-164.01904906730448,-0.46571453152837705,728.9771303346831
-154.4657098881266,-0.4224567251739444,728.8134821973877
-144.4615768178615,-0.41519724530465396,728.5992510212452
-135.09587141847535,-0.4089874554438637,728.5640998293051
-125.48702052379221,-0.41876359549024045,728.3267783028751
-116.6209656774616,-0.40259313338908953,728.3113767156088
-107.50064839571574,-0.40642388519607664,728.2359904631294
-98.20157683513476,-0.39925264822272766,728.0526639140504
-89.0501753520836,-0.36110341837749615,727.9250307573178
-80.38620473581531,-0.36198218952456784,727.8736721043464
-71.4857447109294,-0.32685506548297383,727.6903876484284
-62.46979769603662,-0.34575243595917726,727.6227196292384
-52.912010165738245,-0.33665229069650593,727.5044676512122
-44.634444928347094,-0.3245736202414946,727.3709200317468
-35.57186752206847,-0.341503811623749,727.259564949341
-26.587006509076964,-0.34745601588313235,727.2253071386685
-18.178427493100305,-0.3214033293466496,727.0223699667163
-10.201762977937271,-0.30937111953673035,726.8957042696464
-1.3312743091323287,-0.34534982416975923,726.7792270727977
7.739085441134154,-0.29635302776684513,726.7672379986572
17.291323789364498,-0.293359923414787,726.6626925058029
26.029682757593783,-0.24737652561062973,726.5470943654258
34.99343519850877,-0.268400032628783,726.3757930090354
44.44684513384486,-0.25443665014446637,726.178753764324
52.95204180863345,-0.24049893981604242,726.1539670620156
61.63266317771839,-0.2245633883620286,726.0332329105884
70.57531715660657,-0.2096334347892892,725.8319605882893
79.93325079054037,-0.17473604786408004,725.7608436214024
89.67203085643177,-0.20085855947414188,725.6965360456564
98.77790585601026,-0.1659709505882958,725.4986777609602
107.6928137607944,-0.18210744647253563,725.4267410496469
115.81604945906645,-0.18324130020228324,725.3488854435768
124.36565330854856,-0.16039053870547093,725.2418706874962
133.27723592766048,-0.16856914240013054,725.2256095145146
142.67956787747994,-0.154745644010589,724.9840400216301
152.82583920974594,-0.15396834963853223,724.8700204523201
157.32382059731117,-0.15807347387254822,724.8301949805153
165.47925224795787,-0.11626474281455046,724.6923861931825
173.9344745037008,-0.10947426705325825,724.5511193329661
182.52071552465847,-0.11869762258974959,724.3995604168939
191.87642813894297,-0.11296262039130056,724.3087432983293
200.61145321011378,-0.10321216699804836,724.1331907593709
209.30429152010555,-0.07847892709244775,724.01588707096
218.44460493648123,-0.04278213321651947,723.9799111248321
227.8425065748889,-0.04909652521365615,723.8454076121177
236.96505546745374,-0.03042706518456839,723.821422814183
245.7877991600775,-0.02674337784560521,723.6587104941606
254.34740302139767,0.0059273382745743675,723.5953813910843
263.18680413615886,0.011583896277045369,723.4532244741451
271.6342543352864,0.03024695052877746,723.2931197382078
279.68532236784245,0.044905257344936444,723.2298371778872
288.25047423840897,0.033533019551640564,723.1408082396507
296.4003536514048,0.05717713799850799,722.9764504762545
305.54844037544325,0.09374967619768881,722.929341010416
313.51067311468364,0.05637680531447131,722.800967609037
320.63016893300005,0.11502912264623433,722.73777868898
327.7940688669858,0.11567922563489219,722.6034897896488
335.74298656380677,0.15127320227330188,722.5282294360358
343.42096858245793,0.1758866965693926,722.3219495721622
350.8957736705137,0.17748246185831817,722.289555250679
359.8517667547968,0.21299476333871326,722.1782278027565
367.5863814923554,0.20956803585949046,722.0413164185104
374.99123339553796,0.22614311260861086,721.9772405134036
383.36985372408054,0.25765184775534067,721.9053663067942
391.2754583653637,0.25618949199522945,721.7376060601159
399.02784819974454,0.2727138532518154,721.6854887851324
