x,y,z,bank_angle
-2.136255,-7.424612,0.123507,-0.017034
-4.865284,-7.403201,0.120689,-0.017045
-7.851152,-7.365759,0.117108,-0.017002
-10.651884,-7.330092,0.113168,-0.016797
-14.436994,-7.289239,0.107757,-0.016517
-19.442847,-7.226630,0.100752,-0.016188
-24.551444,-7.165278,0.092892,-0.015710
-30.276574,-7.088709,0.083875,-0.015195
-34.928525,-7.032640,0.075559,-0.014538
-41.610583,-6.950904,0.065066,-0.013973
-48.678225,-6.865913,0.053400,-0.013297
-58.080984,-6.752829,0.038468,-0.013094
-67.992388,-6.634692,0.021809,-0.012722
-78.259767,-6.508047,0.003568,-0.012213
-88.326212,-6.382686,-0.015997,-0.011817
-98.396616,-6.255869,-0.036971,-0.011493
-107.946716,-6.132134,-0.059047,-0.011533
-117.077032,-6.008083,-0.082267,-0.011675
-123.933634,-5.907301,-0.102180,-0.011179
-131.514769,-5.801495,-0.123428,-0.010655
-139.518054,-5.676645,-0.145683,-0.010039
-149.738353,-5.519361,-0.173159,-0.010304
-159.777629,-5.361105,-0.200962,-0.010584
-169.924460,-5.207646,-0.228488,-0.010875
-179.477963,-5.067720,-0.255138,-0.011182
-186.971899,-4.966652,-0.275929,-0.010998
-194.083064,-4.882058,-0.295342,-0.010795
-201.548760,-4.804031,-0.312912,-0.010589
-210.853658,-4.701963,-0.332933,-0.011567
-220.344390,-4.588931,-0.350010,-0.012743
-229.919286,-4.462822,-0.364372,-0.014112
-239.529194,-4.317668,-0.376138,-0.015673
-249.068892,-4.161693,-0.385769,-0.017299
-257.064702,-4.014199,-0.388365,-0.019549
-265.154224,-3.837238,-0.387425,-0.021823
-273.369697,-3.631382,-0.382209,-0.023906
-283.210298,-3.373017,-0.376455,-0.028252
-293.042980,-3.073508,-0.366066,-0.033174
-302.647523,-2.695879,-0.352059,-0.038439
-312.020412,-2.179199,-0.335056,-0.043325
-319.489183,-1.680821,-0.312101,-0.048248
-326.972721,-1.012612,-0.285280,-0.052921
-335.111212,0.041856,-0.254033,-0.057031
-345.486332,1.712574,-0.221320,-0.063602
-356.208616,3.847445,-0.185427,-0.069261
-368.728202,7.077088,-0.152014,-0.076505
-381.719493,11.094678,-0.120239,-0.083165
-394.478015,15.696322,-0.092080,-0.090082
-404.849751,20.052650,-0.065198,-0.094835
-414.301604,24.493534,-0.043224,-0.098777
-423.114713,28.992558,-0.025143,-0.101695
-429.621949,32.538119,-0.007437,-0.103894
-435.288804,35.962792,0.008003,-0.107107
-440.728075,39.521754,0.021425,-0.109915
-446.280414,43.235418,0.033267,-0.113281
-451.767350,47.152956,0.044016,-0.115780
-457.211572,51.307546,0.053928,-0.117438
-462.644095,55.565587,0.062623,-0.120154
-468.051039,60.091146,0.070339,-0.122003
-473.400313,64.885397,0.076918,-0.122891
-478.745292,69.822301,0.082007,-0.125073
-483.994663,75.022185,0.085874,-0.126445
-489.108418,80.444962,0.089131,-0.127077
-494.149333,85.946605,0.092216,-0.129154
-498.965325,91.581968,0.095838,-0.130422
-503.528634,97.315444,0.099970,-0.130918
-507.987864,103.091496,0.104313,-0.133023
-512.282571,109.088840,0.108929,-0.134305
-516.418526,115.331975,0.113644,-0.134603
-520.496703,121.693122,0.118071,-0.136441
-524.431078,128.364619,0.122126,-0.137162
-528.200852,135.306606,0.125750,-0.136757
-532.607887,143.887329,0.127158,-0.139185
-536.617375,152.389391,0.127330,-0.138725
-539.675476,159.307369,0.126476,-0.141535
-542.427301,166.181576,0.123466,-0.141885
-544.885103,173.029569,0.118383,-0.140148
-547.595096,181.309912,0.110274,-0.140493
-550.027785,189.828588,0.099563,-0.138461
-551.820541,196.907801,0.087378,-0.140418
-553.380295,204.266746,0.071748,-0.141925
-554.641172,211.710718,0.052293,-0.142808
-555.971348,220.958884,0.027233,-0.143344
-556.833517,228.673562,-0.000604,-0.146311
-557.449362,236.498849,-0.032239,-0.145488
-557.838837,244.349770,-0.067065,-0.140077
-558.183654,253.825997,-0.105682,-0.140414
-558.349920,263.204480,-0.146097,-0.138350
-558.400445,272.471145,-0.187782,-0.133708
-558.386748,281.635844,-0.230260,-0.126549
-558.363263,289.067649,-0.272223,-0.121880
-558.329150,296.433210,-0.314232,-0.115433
-558.285556,303.725760,-0.356329,-0.108073
-558.204918,312.616945,-0.399381,-0.103818
-558.106167,321.582196,-0.442758,-0.098710
-558.000345,330.350086,-0.486214,-0.092915
-557.903446,338.832159,-0.529652,-0.087391
-557.814811,346.899097,-0.572342,-0.083159
-557.730169,354.883061,-0.613748,-0.079492
-557.643264,362.817256,-0.653084,-0.076039
-557.557411,371.015683,-0.690007,-0.072238
-557.463912,379.505896,-0.723815,-0.068432
-557.363725,388.357820,-0.753878,-0.064757
-557.258306,397.279729,-0.779656,-0.061129
-557.175246,404.574392,-0.800326,-0.059481
-557.074782,413.917862,-0.815580,-0.057502
-556.969207,423.806386,-0.824135,-0.056550
-556.842222,435.864898,-0.825328,-0.055687
-556.716343,446.370801,-0.818321,-0.056647
-556.553074,456.800465,-0.803436,-0.057729
-556.309252,466.666825,-0.781469,-0.059097
-555.914624,476.079750,-0.752864,-0.060367
-555.504573,483.389415,-0.720376,-0.063637
-554.906161,490.736273,-0.682448,-0.066850
-554.098074,498.040057,-0.639842,-0.069528
-552.864174,506.924973,-0.591157,-0.072210
