x,y,height, bank_angle
-9.785506,-7.335858,0.113554,0.000000
-19.919786,-7.223075,0.099388,0.000000
-30.054837,-7.098572,0.083810,0.000000
-40.189824,-6.968321,0.067600,0.000000
-50.324918,-6.846354,0.051292,0.000000
-60.460026,-6.724732,0.034768,0.000000
-70.595128,-6.602713,0.017467,0.000000
-80.730183,-6.477200,-0.000875,0.000000
-90.865223,-6.350701,-0.020933,0.000000
-101.000237,-6.222646,-0.042623,0.000000
-111.135176,-6.089463,-0.067291,0.000000
-121.269963,-5.946073,-0.094836,0.000000
-131.404737,-5.802186,-0.123099,0.000000
-141.539301,-5.645402,-0.151159,0.000000
-151.673870,-5.488330,-0.178489,0.000000
-161.808396,-5.328187,-0.206281,0.000000
-171.943064,-5.175977,-0.234053,0.000000
-182.077889,-5.037567,-0.262122,0.000000
-192.212822,-4.906971,-0.289527,0.000000
-202.348002,-4.795365,-0.314320,0.000000
-212.483184,-4.681894,-0.334998,0.000000
-222.618257,-4.559669,-0.351551,0.000000
-232.753150,-4.422629,-0.364523,0.000000
-244.556593,-4.233555,-0.378089,0.000000
-256.359576,-4.019603,-0.388236,0.000000
-268.161931,-3.774724,-0.394127,0.000000
-278.294581,-3.528692,-0.390979,0.000000
-288.426161,-3.245196,-0.382509,0.000000
-298.554624,-2.875982,-0.368642,0.000000
-308.676393,-2.368978,-0.348858,-0.010036
-318.785104,-1.663998,-0.323608,-0.020071
-328.869587,-0.699933,-0.292459,-0.030107
-337.269187,0.319792,-0.258269,-0.040142
-345.622047,1.672636,-0.223928,-0.050178
-353.921834,3.337360,-0.189755,-0.060214
-363.791026,5.619083,-0.158122,-0.070249
-373.557337,8.303388,-0.130677,-0.080285
-383.200192,11.409760,-0.109556,-0.090321
-392.699892,14.928215,-0.089455,-0.100356
-402.056183,18.810853,-0.067919,-0.110392
-411.273703,23.018934,-0.047208,-0.120427
-420.342186,27.535550,-0.028163,-0.130463
-429.214886,32.417178,-0.007911,-0.140499
-437.859653,37.694815,0.013260,-0.150534
-446.280606,43.327517,0.033016,-0.160570
-454.485567,49.269862,0.048523,-0.153880
-462.464760,55.512258,0.061701,-0.147189
-470.198463,62.055984,0.072234,-0.140499
-477.672729,68.894127,0.079879,-0.133808
-484.876560,76.016814,0.085167,-0.127118
-491.801396,83.411766,0.089336,-0.120427
-498.441218,91.063062,0.093720,-0.113737
-504.779927,98.965617,0.098968,-0.107047
-510.802497,107.111175,0.104925,-0.100356
-516.495610,115.490173,0.110925,-0.093666
-521.855038,124.086668,0.116608,-0.086975
-526.878049,132.884326,0.121282,-0.080285
-531.582964,141.857003,0.124835,-0.073595
-535.957117,150.995435,0.126373,-0.066904
-539.409496,158.723080,0.126236,-0.060214
-542.552033,166.581360,0.122957,-0.053523
-545.366644,174.562164,0.116350,-0.046833
-548.412795,184.221843,0.105101,-0.040142
-551.023433,194.007055,0.089613,-0.033452
-553.189641,203.898767,0.069009,-0.026762
-554.921797,213.875223,0.043123,-0.020071
-556.250216,223.914409,0.012061,-0.013381
-557.207304,233.997342,-0.023620,-0.006690
-557.836103,244.108088,-0.063317,0.000000
-558.191520,254.234604,-0.106702,0.000000
-558.356382,264.367779,-0.153572,0.000000
-558.403878,274.502987,-0.203360,0.000000
-558.388285,284.638355,-0.255366,0.000000
-558.342391,294.773589,-0.308412,0.000000
-558.271898,304.908685,-0.362026,0.000000
-558.177532,315.043678,-0.415998,0.000000
-558.058286,325.178524,-0.470278,0.000000
-557.936188,335.313362,-0.524719,0.000000
-557.822454,345.448298,-0.578024,0.000000
-557.717583,355.583376,-0.628661,0.000000
-557.615062,365.718516,-0.675166,0.000000
-557.505165,375.853620,-0.716785,0.000000
-557.391944,385.988718,-0.753233,0.000000
-557.272378,396.123782,-0.783944,0.000000
-557.157451,406.258933,-0.807064,0.000000
-557.029455,418.063208,-0.821117,0.000000
-556.904347,429.867530,-0.826075,0.000000
-556.775894,441.671821,-0.823146,0.000000
-556.631576,451.806504,-0.813557,0.000000
-556.420021,461.939349,-0.796244,0.000000
-556.070077,472.067029,-0.768749,0.000000
-555.500575,482.182415,-0.730665,0.000000
-554.889905,490.624438,-0.684654,0.000000
-554.004790,499.040989,-0.631779,-0.008028
-552.810404,507.417127,-0.571060,-0.016057
