x,y,z,bank_angle
-10.300459,-3.699191,0.055461,-0.018026
-15.206246,-3.675408,0.057520,-0.017327
-18.629021,-3.654288,0.058490,-0.016919
-22.274172,-3.631887,0.060443,-0.015685
-27.972803,-3.610496,0.065876,-0.013974
-34.176144,-3.580707,0.071015,-0.011840
-40.724061,-3.557375,0.077715,-0.008976
-47.939322,-3.519055,0.086660,-0.005066
-57.268267,-3.481160,0.102939,0.001101
-67.581004,-3.429593,0.122779,0.009101
-79.950119,-3.379705,0.154555,0.022059
-92.472399,-3.326947,0.190410,0.036674
-102.273978,-3.275496,0.216993,0.049622
-109.793501,-3.243234,0.235408,0.062134
-116.888536,-3.215740,0.254728,0.074412
-124.049204,-3.184914,0.273677,0.087339
-130.902122,-3.151211,0.294696,0.102272
-138.815260,-3.105595,0.315988,0.110046
-149.482161,-3.049158,0.352549,0.137656
-161.033170,-2.972171,0.391667,0.152239
-171.211029,-2.907822,0.433680,0.196933
-180.192158,-2.864287,0.476109,0.237870
-186.752533,-2.834001,0.501640,0.262468
-193.492259,-2.800671,0.527010,0.282155
-200.688488,-2.755424,0.553847,0.270957
-210.023938,-2.708501,0.598686,0.330992
-220.009462,-2.659169,0.642863,0.383912
-230.113760,-2.608707,0.685917,0.424155
-240.093947,-2.550662,0.731725,0.456771
-249.567973,-2.485625,0.782086,0.465341
-257.006163,-2.420501,0.816090,0.567616
-264.731807,-2.334897,0.852604,0.580068
-272.976382,-2.228837,0.891142,0.449346
-283.397127,-2.095659,0.953902,0.495889
-293.181094,-1.961103,1.019806,0.630768
-302.630971,-1.803183,1.089157,0.837113
-311.576508,-1.630732,1.170509,1.054399
-318.906193,-1.386989,1.228266,1.138759
-326.220118,-1.066701,1.312770,1.159890
-333.871153,-0.591523,1.433621,0.960790
-344.232525,0.256102,1.646109,0.867076
-356.987600,1.516625,2.069990,0.740748
-369.938091,3.060766,2.605278,0.611819
-382.198473,4.783502,3.263025,0.543187
-392.627256,6.924374,3.909507,0.479257
-404.762775,9.539575,4.993169,0.457407
-414.955387,12.189429,5.865294,0.427349
