x,y,z,bank_angle
-4.822381,-7.400751,0.121596,-0.017018
-10.568017,-7.343083,0.116947,-0.017091
-15.347287,-7.274278,0.111653,-0.016708
-18.664610,-7.231027,0.105659,-0.016194
-22.347420,-7.192344,0.097664,-0.015363
-28.118963,-7.107837,0.088495,-0.014993
-34.379241,-7.042603,0.079022,-0.014454
-41.090316,-6.953530,0.068623,-0.014047
-48.253113,-6.881730,0.056612,-0.013385
-57.490394,-6.763535,0.041701,-0.013236
-66.820573,-6.641913,0.025456,-0.012907
-80.029351,-6.485034,0.003332,-0.012871
-92.434614,-6.313735,-0.020128,-0.012831
-102.940271,-6.184834,-0.041528,-0.012412
-109.457036,-6.096901,-0.059887,-0.011927
-117.172596,-6.007826,-0.079921,-0.011469
-124.347421,-5.902477,-0.099596,-0.011082
-131.257984,-5.794557,-0.120668,-0.010658
-137.400193,-5.705194,-0.143398,-0.010216
-150.958540,-5.525327,-0.177360,-0.010803
-162.415571,-5.319192,-0.206281,-0.011077
-173.670336,-5.128474,-0.234151,-0.011437
-179.689298,-5.046392,-0.255783,-0.011139
-186.566366,-4.969164,-0.276690,-0.011024
-193.788194,-4.906212,-0.296969,-0.010799
-201.344050,-4.808856,-0.315057,-0.010403
-210.608162,-4.699079,-0.335745,-0.011212
-220.207041,-4.602722,-0.352525,-0.012395
-229.883459,-4.490803,-0.367189,-0.013704
-239.679239,-4.343194,-0.377630,-0.015416
-249.218529,-4.178311,-0.387024,-0.017203
-256.902814,-4.010430,-0.390730,-0.019192
-264.392234,-3.883663,-0.393137,-0.021062
-274.900113,-3.627840,-0.392148,-0.024492
-285.290481,-3.359169,-0.384729,-0.028954
-295.527437,-3.055235,-0.372287,-0.034152
-302.786464,-2.811116,-0.353762,-0.038767
-311.865150,-2.415241,-0.337153,-0.043921
-319.333661,-2.010086,-0.315375,-0.048748
-326.855098,-1.332684,-0.289609,-0.053104
-334.471285,-0.425432,-0.259737,-0.057275
-343.750391,0.909109,-0.225902,-0.063042
-357.800620,3.861727,-0.190963,-0.069877
-371.188345,7.231933,-0.152894,-0.075756
-382.088537,10.259225,-0.114014,-0.081301
-392.173547,14.253469,-0.082450,-0.088527
-405.236478,20.116933,-0.059960,-0.093381
-418.122865,25.989822,-0.043093,-0.097699
-426.108219,30.181389,-0.025057,-0.102683
-429.613734,32.207221,-0.004721,-0.105703
-435.150051,35.555772,0.010473,-0.108975
-440.758906,39.224976,0.022513,-0.111219
-446.344815,42.980271,0.034068,-0.114378
-451.871686,46.920308,0.044091,-0.117572
-457.244218,50.989839,0.054346,-0.119401
-462.675410,55.192858,0.063393,-0.122041
-468.040717,59.669420,0.071748,-0.123710
-473.520381,64.566290,0.078358,-0.124612
-478.879756,69.505564,0.082955,-0.126902
-484.218027,74.777060,0.086374,-0.128130
-489.339592,80.205890,0.089136,-0.128668
-494.411189,85.762212,0.090952,-0.130628
-499.254976,91.427614,0.094040,-0.132140
-503.856889,97.197810,0.099218,-0.132927
-508.334441,102.964583,0.104787,-0.135334
-512.514414,108.825727,0.109742,-0.136489
-516.541521,114.895028,0.113253,-0.136668
-520.600452,121.213318,0.117063,-0.137959
-524.591826,127.924505,0.121652,-0.138550
-528.367043,134.817865,0.126957,-0.138802
-533.027890,143.947671,0.129030,-0.140451
-536.538637,151.329011,0.130009,-0.142382
-539.780672,158.800297,0.128686,-0.142255
-542.175173,164.844484,0.126668,-0.140007
-545.105919,172.751066,0.120572,-0.141378
-547.759254,180.753159,0.112554,-0.140859
-549.969391,188.024568,0.103606,-0.141090
-551.805893,195.224876,0.092303,-0.141138
-553.320387,202.389202,0.077490,-0.141112
-554.965470,211.512853,0.056513,-0.144056
-556.313707,220.828806,0.031673,-0.144352
-557.179535,228.703239,0.003534,-0.148176
-557.785164,236.566673,-0.028621,-0.148319
-558.119862,244.383558,-0.064443,-0.141826
-558.383252,253.882367,-0.104346,-0.141551
-558.441038,263.287230,-0.145327,-0.139732
-558.414984,272.663395,-0.186808,-0.135061
-558.390406,281.805850,-0.229602,-0.127224
-558.409931,289.136322,-0.272062,-0.122435
-558.391515,296.397835,-0.314871,-0.115388
-558.313317,303.695181,-0.356323,-0.107714
-558.199514,312.652037,-0.398376,-0.103148
-558.095693,321.576627,-0.441953,-0.097995
-558.017037,330.343319,-0.486145,-0.092702
-557.922902,337.423658,-0.529390,-0.089707
-557.821150,345.038799,-0.570954,-0.085554
-557.751962,352.566568,-0.612918,-0.080596
-557.671780,361.635639,-0.654406,-0.076410
-557.593828,370.263136,-0.693174,-0.071964
-557.470693,379.314789,-0.727722,-0.068266
-557.354944,388.526769,-0.758217,-0.064396
-557.247523,397.513464,-0.784609,-0.060516
-557.162214,404.626072,-0.805379,-0.058840
-557.098553,411.683287,-0.821682,-0.056888
-557.012669,418.896689,-0.832439,-0.054803
-556.856589,433.559909,-0.834450,-0.055165
-556.678445,448.697543,-0.825810,-0.054616
-556.549997,461.906982,-0.808372,-0.055999
-556.413364,469.183343,-0.785452,-0.058621
-556.299622,474.212281,-0.759385,-0.061890
-555.991813,481.219229,-0.728084,-0.064362
-555.353809,489.005092,-0.690118,-0.065701
-554.361126,498.414179,-0.644864,-0.069558
-553.086984,507.493171,-0.593958,-0.072771
-552.016737,514.160710,-0.543346,-0.077011
-550.704246,520.777548,-0.491736,-0.081032
-549.104724,527.405355,-0.440368,-0.084705
-547.367143,534.079122,-0.389399,-0.089456
-545.270348,540.924179,-0.339046,-0.093487
-542.996084,547.653006,-0.290178,-0.097189
-540.618742,554.337421,-0.243766,-0.101842
-538.009528,560.855777,-0.200655,-0.106328
-535.084226,567.444631,-0.160834,-0.110442
-532.108042,573.887428,-0.123494,-0.115579
-528.912749,580.254679,-0.089340,-0.119798
-525.412285,586.704419,-0.057862,-0.122745
-521.820772,593.138873,-0.028587,-0.126510
-517.948155,599.533181,-0.001077,-0.129082
-513.956007,605.658503,0.025346,-0.130630
-509.909086,611.706580,0.050119,-0.133339
-505.671191,617.624433,0.074172,-0.135006
-502.266161,622.094850,0.094250,-0.137703
-497.593198,627.919714,0.115139,-0.138964
-492.912304,633.348111,0.134556,-0.139275
-486.910560,639.986324,0.155189,-0.139700
-481.886576,645.278483,0.172789,-0.142239
-476.614806,650.469677,0.189651,-0.144063
-471.383957,655.348357,0.206808,-0.144790
-466.048923,660.183194,0.223617,-0.146555
-460.361538,665.003288,0.240620,-0.146879
-454.329398,669.725121,0.257165,-0.145450
-446.761579,675.339087,0.274999,-0.145965
-438.875478,680.744723,0.292085,-0.143522
-432.237306,685.049179,0.305518,-0.146657
-425.516253,689.054101,0.318505,-0.148138
-419.060611,692.582207,0.330217,-0.148253
-412.642547,695.963266,0.340401,-0.149516
-406.079972,699.126448,0.349230,-0.149094
-399.145809,702.210355,0.356321,-0.146392
-390.606422,705.771369,0.364056,-0.147372
-381.980086,709.012433,0.369172,-0.146435
-374.920142,711.435603,0.369666,-0.147865
-367.856892,713.567817,0.367615,-0.147618
-360.670970,715.478020,0.362904,-0.146193
-351.890589,717.520126,0.356708,-0.147487
-344.996365,718.898131,0.346047,-0.149067
-338.108278,719.941641,0.332300,-0.150546
-331.204671,720.720609,0.315181,-0.150359
-322.162728,721.597024,0.295919,-0.150760
-312.917250,722.179614,0.272843,-0.147705
-303.537813,722.525349,0.246886,-0.142397
-294.181902,722.619254,0.218107,-0.135732
-286.655100,722.601835,0.187610,-0.134691
-279.139778,722.531027,0.156781,-0.129607
-271.303192,722.513294,0.125325,-0.121718
-261.747061,722.498399,0.093372,-0.116807
-252.165022,722.479075,0.059966,-0.111043
-242.954765,722.432519,0.025195,-0.104900
-233.871828,722.365989,-0.010407,-0.098016
