x,y,z
-0.4570698352909143,4.49121043520851,-0.05000321704940794
-3.2888897518969054,4.2647566754831745,-0.050004157598404445
-6.122027462378935,4.056022128353344,-0.08181868388667476
-8.957406252335145,3.879476763175078,-0.10000917633030867
-11.79058893790183,3.671332900093726,-0.1451187931071243
-14.624218266910187,3.4710662135642094,-0.15001948633613232
-17.456531853311986,3.254644881389588,-0.1500264034195625
-20.287757895645345,3.0234889851051667,-0.20003474554040357
-23.121805048245093,2.8269856548052887,-0.21162430835131418
-25.956978325075163,2.6489755593482593,-0.2500550095506308
-28.78855390879484,2.4189881530134287,-0.2815151595648766
-31.618907368042763,2.1782634632960125,-0.3403299553479749
-34.45083923491191,1.9575535065776348,-0.3678912439332957
-37.28323172042977,1.73977047126944,-0.42802733439821733
-40.11545377004353,1.5202784161267637,-0.46628599081207905
-42.94951919307263,1.3261807621101127,-0.5088121444652418
-45.781988975053224,1.110736518454829,-0.5484224366702917
-48.61563002873966,0.9232903499084195,-0.6001867752882561
-51.44820220605421,0.7105000589404225,-0.6601909672051052
-54.28273138165322,0.5491800650523511,-0.7002324903849284
-57.11759108882536,0.3866593447822151,-0.7723547354878663
-59.95175099399141,0.19142879272790303,-0.8027283020765055
-62.78774568766561,0.035795776712665095,-0.873433472746053
-65.62224052620996,-0.1327276465206153,-0.9112896934453638
-68.45002072126843,-0.3962670751021249,-0.9989017593964202
-71.28349890934417,-0.5951581514098159,-1.0158764726003904
-74.11518540714192,-0.8237365787032171,-1.1004318878608494
-76.94798546125176,-1.0374796338496168,-1.1344292561223799
-79.78122366649295,-1.2454006696566466,-1.2404364591276247
-82.61777021620686,-1.398466761214558,-1.2934595681111856
-85.45003643453026,-1.610842525120927,-1.4041172307415424
-88.28587667709336,-1.7697879606657139,-1.5026982717437023
-91.1198830283714,-1.9632283511863804,-1.5929274676901914
-93.95351594700728,-2.16508081203644,-1.6779709057762946
-96.7868240491043,-2.366205193767703,-1.7480299636432766
-99.61917178554503,-2.579079403905011,-1.8347704773530702
-102.45476175755442,-2.751514790228412,-1.8739325349814553
-105.28647889024987,-2.9775326581402757,-1.980662335245595
-108.11935342190128,-3.1842523711777337,-2.0834113657774456
-110.95516879642457,-3.348248454376032,-2.1913587884290227
-113.78674635287808,-3.576369313528266,-2.2687039661526107
-116.61737221502776,-3.813864489628703,-2.356802051304665
-119.4524572273171,-3.992204018263685,-2.4675652340040566
-122.28571692002717,-4.197897613817657,-2.5547707849746395
-125.12276752791529,-4.325536004380109,-2.660096503619517
-127.95936246583165,-4.480833985050855,-2.743418434301775
-130.7912462986102,-4.701139630138536,-2.8214725739461644
-133.62535261678477,-4.890771045227523,-2.8759718993833334
-136.4584835672636,-5.095985905048753,-2.9820907736274185
-139.2919731431573,-5.29658110716276,-3.079113138614831
-142.12521285385503,-5.501053928543239,-3.1796543867242666
-144.95796536753926,-5.715598384651994,-3.2691000656768714
-147.78944431905097,-5.943902539625164,-3.3184163311702175
-150.61803421225744,-6.203736862605087,-3.3520117447581965
-153.45428475643746,-6.339345756530427,-3.4324463261544853
-156.2896006710057,-6.516986433314221,-3.4972274547594173
-159.1261418980559,-6.67283915324593,-3.5377397208205426
-161.95930893772066,-6.881124507327836,-3.5982739681575096
