x,y,z
-1.219568344811443605e+00,4.432919188852049608e+00,-5.000327136919661963e-02
-4.781190951370981601e+00,4.146460150326527483e+00,-5.000478981730570316e-02
-6.896857096110005969e+00,4.003786708190350652e+00,-1.000066231556460544e-01
-9.342867991613996281e+00,3.857783304966260651e+00,-1.000096432682205105e-01
-1.175408339084506615e+01,3.673474806757615951e+00,-1.500135269548195094e-01
-1.464814303016044761e+01,3.451972631517942425e+00,-1.500193837082297865e-01
-1.567741004629866097e+01,3.403676058029721396e+00,-1.500217877146429180e-01
-1.808218181457431939e+01,3.197163362934063446e+00,-1.500279940109134902e-01
-2.085810791377921447e+01,2.993983428179123774e+00,-2.000364399405044624e-01
-2.186160045132962537e+01,2.918484929849104681e+00,-2.000397095667579284e-01
-2.467103375180025893e+01,2.723078535677944334e+00,-2.500498844313973068e-01
-2.558517420756473726e+01,2.678113849363478405e+00,-2.500534438455060959e-01
-2.836711513308853583e+01,2.454395790380725195e+00,-2.500650801294119763e-01
-3.083331641170325454e+01,2.270093540384244601e+00,-3.500764880614453678e-01
-3.204300641027278829e+01,2.144633194293765310e+00,-3.500824123808562449e-01
-3.447226479278850775e+01,1.944787578762203317e+00,-3.500949408506712768e-01
-3.733582511617520794e+01,1.723293772084569131e+00,-4.501110012112400360e-01
-3.817951511055636615e+01,1.667227091433736597e+00,-4.501159267542290676e-01
-4.084117472990764952e+01,1.487925448832757347e+00,-4.501324083066706727e-01
-4.195206169509535243e+01,1.398551287779743912e+00,-5.001395789836607930e-01
-4.475118596566181850e+01,1.172063433595515125e+00,-5.501585015199584872e-01
-4.743346598395736180e+01,9.533481253154505453e-01,-5.501778366502448891e-01
-4.871360620828434662e+01,9.056126318668145103e-01,-6.001873867101009674e-01
-5.133746317461846331e+01,7.224282037247342636e-01,-6.502078801511014250e-01
-5.256304748599213639e+01,6.169568887959013814e-01,-7.002179179378241747e-01
-5.669471951599186355e+01,4.276779873345404326e-01,-7.502532795591204673e-01
-5.780947283547415338e+01,3.383061528924651284e-01,-8.002632647632478280e-01
-6.043719697927315337e+01,1.617867369591312610e-01,-8.002875831415513508e-01
-6.356623606396247794e+01,2.801933435281078744e-02,-9.003180113242735816e-01
-6.709521389916423573e+01,-3.050442776277941803e-01,-9.503540582560056071e-01
-6.819665027434615467e+01,-3.760945485572113611e-01,-1.000365752467174740e+00
-7.228837335740985282e+01,-6.725104806155721704e-01,-1.050410791622490958e+00
-7.347830298530422510e+01,-7.724272958072724293e-01,-1.100424386545349353e+00
-7.602827427308058361e+01,-9.617107211990525428e-01,-1.100454245952788845e+00
-7.895756157805297448e+01,-1.193181244828980248e+00,-1.200489826555543482e+00
-8.161793247788727967e+01,-1.326946067890151681e+00,-1.300523340854959908e+00
-8.409659398830081045e+01,-1.531771958415551360e+00,-1.350555507287918289e+00
-8.534322771044853084e+01,-1.607814587235736781e+00,-1.400572092321730633e+00
-8.820507068588290167e+01,-1.756564147486987970e+00,-1.500611032305031678e+00
-9.145654125865789297e+01,-1.992467471306113680e+00,-1.600656803736658640e+00
-9.421099030946251673e+01,-2.175635709880165969e+00,-1.700696889879125262e+00
-9.700324376104200041e+01,-2.422645417010910407e+00,-1.750738743637465067e+00
-9.964901049198876137e+01,-2.565841849799555874e+00,-1.800779525062932152e+00
-1.022806006838206656e+02,-2.745677814653870286e+00,-1.900821226853267376e+00
-1.032681998861267658e+02,-2.801735440387548515e+00,-1.900837129290285921e+00
-1.058589811133236935e+02,-3.035976005984011294e+00,-2.000879629026851347e+00
-1.087311347756237438e+02,-3.214696176813728101e+00,-2.100927994927971554e+00
-1.111775769146116772e+02,-3.355115672798535620e+00,-2.200970159208277543e+00
-1.140707811430148269e+02,-3.620992965887552373e+00,-2.301021304270165491e+00
-1.165902526376435162e+02,-3.780840157988135886e+00,-2.351066921812950739e+00
-1.195384424704739104e+02,-4.030059834060502943e+00,-2.451121620162012515e+00
-1.206836960363625906e+02,-4.097771039896530354e+00,-2.501143129938513177e+00
-1.230592581739994813e+02,-4.255952817588839920e+00,-2.601188563930137754e+00
-1.237856742755157029e+02,-4.296467589073871274e+00,-2.601202633232749140e+00
-1.238419489917621092e+02,-4.300907930722762451e+00,-2.601203731856130297e+00
-1.266092847096142151e+02,-4.417445656430842860e+00,-2.701258022119525037e+00
-1.301361144724689041e+02,-4.608915624588503235e+00,-2.801329050694000955e+00
-1.331302705828858848e+02,-4.890328438572019820e+00,-2.901390958539644238e+00
-1.356506019362889219e+02,-5.066268889075941750e+00,-2.951444100166044748e+00
-1.384991287563191236e+02,-5.212779313865373965e+00,-3.051505371309949588e+00
-1.416036855485566548e+02,-5.463653233082213845e+00,-3.151573661995043629e+00
-1.442430094910430682e+02,-5.668456694588837941e+00,-3.251632913271805148e+00
-1.455373269829975982e+02,-5.758922738430738875e+00,-3.301662358944540188e+00
-1.487428377387133196e+02,-6.063642066680515086e+00,-3.301736407679676688e+00
-1.513469347764513486e+02,-6.174067339922608255e+00,-3.401797740945018411e+00
-1.543393728137540393e+02,-6.394959991865071025e+00,-3.451869593909296707e+00
-1.567664859280320684e+02,-6.534810226400706412e+00,-3.501928861594716835e+00
-1.596339167985730114e+02,-6.735162595349239112e+00,-3.552000086072582441e+00
-1.625348553239947478e+02,-6.947726583498362807e+00,-3.602073442345958831e+00
-1.656067646864542837e+02,-7.125311038912428785e+00,-3.652152603124172003e+00
-1.669638005168183099e+02,-7.205224195346901617e+00,-3.702187996761832522e+00
-1.701461130181676253e+02,-7.463302038637736224e+00,-3.752272219639070983e+00
-1.731144967959652377e+02,-7.683632791717434074e+00,-3.752352269831287224e+00
-1.756533023812345675e+02,-7.920626717076645562e+00,-3.802421896745552310e+00
-1.770687625111627881e+02,-8.011639979086178087e+00,-3.802461062073193787e+00
-1.796062791693329928e+02,-8.167580093373000949e+00,-3.802532114490554616e+00
-1.822920008737575586e+02,-8.358490657143917701e+00,-3.802608457611483583e+00
-1.836013558671226633e+02,-8.463939146950007597e+00,-3.802646226082141645e+00
-1.878627697187370700e+02,-8.769172242942453011e+00,-3.802770446477791388e+00
-1.912469852077592805e+02,-9.036674028606286768e+00,-3.852871234259016120e+00
-1.944293007621238871e+02,-9.297517634906091288e+00,-3.852967684230331979e+00
-1.971390836653258134e+02,-9.508963381339498255e+00,-3.753051059660574396e+00
-2.003424496333337856e+02,-9.734274122207787983e+00,-3.703151070465076522e+00
-2.030255993305532058e+02,-9.963483435030550339e+00,-3.603236141982622875e+00
-2.060008584419960584e+02,-1.012162409213654790e+01,-3.553331694458187417e+00
-2.090500087513736105e+02,-1.035082157810384729e+01,-3.453431126373030402e+00
-2.117692425885490479e+02,-1.059890207305870469e+01,-3.403521076577825433e+00
-2.144850397267351241e+02,-1.077148069417073373e+01,-3.303611980390242842e+00
-2.173322857978408251e+02,-1.093739274077122126e+01,-3.253708527469352241e+00
-2.200575342675464015e+02,-1.118435984547468109e+01,-3.203802277409028676e+00
-2.230615789787556764e+02,-1.138357467105556253e+01,-3.103906845876565512e+00
-2.262009415431253387e+02,-1.159943906399568370e+01,-3.004017711559100245e+00
-2.271945573231200797e+02,-1.167768688214383488e+01,-3.004053120175158131e+00
-2.302797935586116296e+02,-1.189466153495800782e+01,-2.904164001715856980e+00
-2.330333918764542318e+02,-1.203392313859620089e+01,-2.854264158985854394e+00
-2.357753960921822909e+02,-1.225368173192572918e+01,-2.754365188443165025e+00
-2.384615540046823412e+02,-1.242625285884930975e+01,-2.654465230693495048e+00
-2.413878458333850858e+02,-1.265821706329388618e+01,-2.604575597974871037e+00
-2.428398241587044026e+02,-1.275698930799100239e+01,-2.554630998156708799e+00
-2.471283069566049448e+02,-1.300833891917186591e+01,-2.504795865798143062e+00
-2.495855014258695519e+02,-1.326307646928684392e+01,-2.454891928385863675e+00
-2.520817858554918303e+02,-1.345563449548627233e+01,-2.404990353477568732e+00
-2.548830685565834813e+02,-1.359433160627420989e+01,-2.355101878742269506e+00
-2.574644093243730936e+02,-1.378022320707014892e+01,-2.305205793839562922e+00
-2.605165671971864185e+02,-1.395666051816358966e+01,-2.255329923118961410e+00
-2.634999956337364324e+02,-1.416085680293960358e+01,-2.155452753154264656e+00
-2.662114996960588655e+02,-1.436506119298608830e+01,-2.105565611652689739e+00
-2.688594242563398211e+02,-1.451486162385096712e+01,-2.055676920319433165e+00
-2.701159429761760293e+02,-1.459920149496669062e+01,-2.055730128316099581e+00
-2.737007834726671263e+02,-1.488886672223443242e+01,-1.955883399445065507e+00
-2.767044020339075132e+02,-1.517855097264594910e+01,-1.956013454492947279e+00
-2.781310368553811259e+02,-1.528508982621686840e+01,-1.906075689066085044e+00
-2.825630052435117250e+02,-1.556805842484643243e+01,-1.806270962183461393e+00
-2.840313094524032067e+02,-1.567737052857918911e+01,-1.756336273772221013e+00
-2.871891462648251263e+02,-1.588099606439091183e+01,-1.706478010721069971e+00
-2.903181992491902292e+02,-1.602632997718151842e+01,-1.656619883662543202e+00
-2.928913752154772965e+02,-1.613559851448119886e+01,-1.656737692374426363e+00
-2.953992601797907014e+02,-1.631315299984380474e+01,-1.606853644090435740e+00
-2.976060076561778374e+02,-1.646018455260222169e+01,-1.606956443481509123e+00
-3.015272096995862512e+02,-1.679201562136507064e+01,-1.557141210254114005e+00
-3.046030001204903783e+02,-1.704116003219625597e+01,-1.507287812516358017e+00
-3.071014337752582151e+02,-1.724202749726854833e+01,-1.507407960421228488e+00
-3.096144743744092693e+02,-1.741957708199266364e+01,-1.457529792952669823e+00
-3.125205806500497374e+02,-1.763652608896831708e+01,-1.407671943309207307e+00
-3.153759955565996052e+02,-1.787734761572857067e+01,-1.407812924202469063e+00
-3.167033958803878022e+02,-1.796167701873405420e+01,-1.407878849851411651e+00
-3.194789079123858073e+02,-1.810645855488859368e+01,-1.358017492209119492e+00
-3.227029036606980981e+02,-1.835558955518999369e+01,-1.308180244343747578e+00
-3.257443274839146170e+02,-1.862637784403895225e+01,-1.308335394539217766e+00
-3.285542056195110945e+02,-1.881168086560282404e+01,-1.308479883343941275e+00
-3.296535016618312284e+02,-1.887048075071646025e+01,-1.258536705607441242e+00
-3.325059082528505314e+02,-1.905911144384355893e+01,-1.258685104030701218e+00
-3.362063058168518523e+02,-1.928434457404894431e+01,-1.208879491560057140e+00
-3.390239185043307089e+02,-1.950628372849205050e+01,-1.209029084267385201e+00
-3.400544797340774039e+02,-1.956786074279758481e+01,-1.209084068334377093e+00
-3.427041226693204408e+02,-1.968099541908496874e+01,-1.209226041433882681e+00
-3.457360952227106736e+02,-1.990736385015033960e+01,-1.209390104819632938e+00
-3.484355718746530783e+02,-2.001882905282482028e+01,-1.159537147416923375e+00
-3.514353275965586363e+02,-2.027128901008374484e+01,-1.159702284691578100e+00
-3.539823043238520199e+02,-2.044327097516847047e+01,-1.159843508092892606e+00
-3.569812038918657890e+02,-2.068962224690849538e+01,-1.110011194215327901e+00
-3.596927102400398439e+02,-2.087491848859242083e+01,-1.110163897171415393e+00
-3.627938457133778343e+02,-2.109183935982601454e+01,-1.110340077714502272e+00
-3.656020098642250105e+02,-2.133431000949215672e+01,-1.110500972040870504e+00
-3.681236398607251203e+02,-2.151517081547669363e+01,-1.160646446452247460e+00
-3.710696946559584148e+02,-2.172709920403349315e+01,-1.210817663061839244e+00
