x,y,z
-0.5300981754012266,-0.041081510684057965,-2.2229701489295817e-08
-5.029489262681786,-0.42635802039248505,-1.99466306669005e-06
-6.947121669957048,-0.5629248529207894,-0.10000380296652675
-9.178345557890914,-0.7072630319809088,-0.1000066341942914
-11.672470840766227,-0.9082260630241767,-0.10001073094150748
-13.835821732789967,-1.0570042454893411,-0.10001507320551678
-15.894355765066393,-1.153597392465783,-0.10001988121834304
-17.711467564467792,-1.2912720772779287,-0.10002468885082028
-19.692677730995882,-1.4766892938358924,-0.20003053000030246
-21.699662806096708,-1.6276862904959328,-0.2000370692528094
-23.865591568704335,-1.7920060163181044,-0.20004484047687865
-25.69387248023329,-1.8819353889470354,-0.20005195930509623
-27.992970386671907,-2.0595772521251385,-0.20006167612989811
-29.824687805242633,-2.2127933598913425,-0.3000700195170173
-32.2440678023817,-2.463714052072302,-0.30008186815583904
-34.0921095898592,-2.574737273776538,-0.300091507842128
-36.25975650979915,-2.722398796230667,-0.4001035063918372
-37.94713649856147,-2.8345321575323315,-0.4001133574778153
-39.86820684834883,-3.0010692129256347,-0.4001251375008863
-42.08998077872423,-3.179817535031662,-0.5001394788548665
-44.013628495544054,-3.3041617041014066,-0.5001525086153158
-46.236262163593175,-3.4451582847483504,-0.5001682864647419
-48.79654261224713,-3.5406292716456225,-0.600187386584454
-50.76228890276559,-3.6394343296231733,-0.6002027618345711
-53.21345752551293,-3.850376959480839,-0.7002228374080166
-55.75999311676242,-4.044663507448197,-0.7002446811760403
-57.989499755726996,-4.223407176332349,-0.800264651584295
-60.49995096045451,-4.4054790043910605,-0.8002880610471597
-63.051640728748104,-4.5886599188630175,-0.9003128701818248
-66.39375424340014,-4.817356076903044,-0.90034690611369
-68.59662699376399,-4.959456618761884,-1.0003702945360284
-71.33475510430091,-5.195928154684936,-1.0004004764177294
-73.71461436008967,-5.395761785068345,-1.1004276662634465
-75.91834792938002,-5.5745005799465766,-1.1004536351959389
-78.67537650877269,-5.800976430522485,-1.2004872020261907
-80.8602072326824,-5.944183947616095,-1.3005146220078596
-83.3474619093022,-6.102932041450361,-1.3005467440056733
-85.84072935359762,-6.255017299090731,-1.400579914073298
-88.50067331140038,-6.448181358887317,-1.5006164102522646
-91.71047645473506,-6.64799985810682,-1.6006618984048417
-94.0379274036871,-6.823400960295543,-1.7006959259673091
-96.41435161996652,-6.991028673911686,-1.7007315388999729
-99.1267036209696,-7.135334704299952,-1.8007732197686122
-101.43525323105007,-7.306292561132455,-1.9008096576100786
-103.41045163566227,-7.418407812599812,-1.9008414624841157
-105.76883277391553,-7.623783347462307,-2.0008803243582722
-108.57483380624102,-7.841365303627186,-2.1009276720359598
-110.87822764648574,-7.9423707856920025,-2.2009673674141492
-113.5802711300442,-8.166614268630394,-2.30101513087763
-115.90686514569096,-8.345339814682353,-2.3010571607915513
-118.30476762906284,-8.547379969928778,-2.401101393236104
-120.59527476084021,-8.682802381600833,-2.501144412789105
-122.47940146636627,-8.80712745186424,-2.601180436053133
-123.9322336693987,-8.888156994834302,-2.6012085746583553
-124.04478310189154,-8.897037678132083,-2.601210771905118
-126.01568275608705,-8.915880931496458,-2.701249379275587
-129.2770353102529,-9.074601391278476,-2.801314782808754
-132.80644731212558,-9.413186263964523,-2.9013876856033813
-135.121871866029,-9.53194940072016,-2.9014364275706894
-137.78353432669917,-9.681794233226471,-3.001493516132581
-140.73645180267638,-9.912685550782253,-3.1015582560542323
-143.29501676915567,-10.118045902503088,-3.2016154688738205
-145.88365175306473,-10.29897799018689,-3.3016743602192906
-148.4800217954795,-10.495453575744094,-3.301734511664088
-151.10645981127885,-10.680824422509309,-3.4017964169300883
-153.72774609940964,-10.903945217672726,-3.401859347041319
-156.23046562047375,-11.073772420543076,-3.501920367715427
-158.77958143724234,-11.214729944179414,-3.501983474828194
-161.8046676142712,-11.39897862141246,-3.6020597224742854
-164.5385029057109,-11.585453122100239,-3.6021299010712333
-167.25257456643894,-11.745279434969184,-3.702200688346555
-169.88760711283732,-11.926202623271596,-3.702270568439931
-172.47796448553075,-12.141545548078748,-3.702340400999723
-174.5141630595555,-12.305825646380363,-3.8023960284728515
-177.34508331941194,-12.487852170399428,-3.8024743591281354
-179.59005959322351,-12.65656757002644,-3.802537421945768
-181.87971234544793,-12.83860499686153,-3.8026025774792975
-184.49842233217814,-13.04950197647371,-3.8026781144206137
-187.42041436213663,-13.264831961190783,-3.8027636323362835
-190.69122075922724,-13.486813892021033,-3.9028609145525515
-193.58228326774855,-13.693259817896324,-3.9029483239709224
-196.80498481486808,-13.972976961892469,-3.8030474204099702
-199.76735720468992,-14.16387440692834,-3.8031398096678126
-202.34225417243323,-14.366994520762365,-3.7032213176266247
-205.24706684530454,-14.563443158787157,-3.603314450273597
-208.46890936797098,-14.80651522323046,-3.503419356377539
-211.17353593125893,-14.99963587637303,-3.5035086571823255
-214.10841940075485,-15.18386695522629,-3.403606805113119
-216.99089483336815,-15.375870575973412,-3.303704542430558
-219.63452345984763,-15.62561584751864,-3.303795511866598
-222.24292770744984,-15.783205661768964,-3.2038861284372295
-225.3401958605345,-16.08401048084971,-3.103995405712844
-227.327427420524,-16.240506117146012,-3.10406622294496
-230.47022832010828,-16.440269245847727,-3.004179366790832
-233.0975353172127,-16.615619829143085,-2.90427516566671
-235.8013078850768,-16.8076218577541,-2.80437491718681
-238.4578258360421,-16.95854289321472,-2.704473944488072
-241.06622906775172,-17.16053856303845,-2.7045724018553914
-243.9701857183904,-17.358083052432672,-2.604683202219067
-246.55539110545018,-17.530099204622225,-2.6047829443844526
-248.93440502845027,-17.762078218204017,-2.5048758647924734
-251.72065426999953,-17.96739549842834,-2.5049856434713274
-254.30328735654712,-18.162725962444433,-2.405088504208754
-256.9039578722006,-18.326965969712173,-2.4051930515850977
-260.0682388597726,-18.49007612813611,-2.305321582971575
-262.8218436108756,-18.656529912496964,-2.205434783302082
-265.63902195650644,-18.822980236632137,-2.2055518173368807
-267.9243870135866,-18.98944829622252,-2.105647770737251
-270.4374244532591,-19.15812803845396,-2.105754186730584
-272.6385922495799,-19.3168254773163,-2.0058482452606086
-275.7238304680081,-19.556543207447575,-2.0059814193258507
-278.57710011095526,-19.769620914589414,-1.9061058884721263
-281.1382504186011,-19.926082022370228,-1.9062185977024004
-284.07485883638407,-20.14470622983574,-1.8063492208799197
-287.2339896520664,-20.38108603926543,-1.7064912608793747
-290.1370865873579,-20.589716077925132,-1.7066231474585525
-292.9972249372127,-20.773919806900146,-1.7067543106666907
-295.52487441508003,-20.954804598482095,-1.6068713565466393
-297.75095305002475,-21.071301808356935,-1.6069751287644785
-300.558684473002,-21.286593476581377,-1.6071073513772873
-303.743592400791,-21.55072333969219,-1.5072589072472589
