x,y,z
-9.71888183637101,-33.7558103210404,14.63
-9.71501925704062,-33.5558572850811,14.63
-9.71007453998632,-33.3559184199917,14.63
-9.69874784213874,-33.1563079590539,14.63
-9.68116789785862,-32.9570820933659,14.63
-9.66358795357851,-32.757856227678,14.63
-9.62706625258718,-32.5614829643235,14.63
-9.57213468582057,-32.3691745584424,14.63
-9.51778550793937,-32.1767051562796,14.63
-9.46614187892024,-31.9834878289465,14.63
-9.41449824990112,-31.7902705016135,14.63
-9.362854620882,-31.5970531742804,14.63
-9.31121099186288,-31.4038358469473,14.63
-9.25956736284376,-31.2106185196143,14.63
-9.20792373382464,-31.0174011922812,14.63
-9.15628010480551,-30.8241838649481,14.63
-9.10463647578639,-30.6309665376151,14.63
-9.05299284676727,-30.437749210282,14.63
-9.00134921774815,-30.2445318829489,14.63
-8.94970558872903,-30.0513145556158,14.63
-8.89806195970991,-29.8580972282828,14.63
-8.84641833069079,-29.6648799009497,14.63
-8.79477470167166,-29.4716625736166,14.63
-8.74313107265254,-29.2784452462835,14.63
-8.69148744363342,-29.0852279189505,14.63
-8.6398438146143,-28.8920105916174,14.63
-8.58820018559518,-28.6987932642843,14.63
-8.53655655657606,-28.5055759369513,14.63
-8.48477260951221,-28.3123968674293,14.63
-8.42932534233948,-28.1202367939599,14.63
-8.37382532358112,-27.9280916719354,14.63
-8.31832530482276,-27.7359465499109,14.63
-8.26282528606439,-27.5438014278863,14.63
-8.20732526730603,-27.3516563058618,14.63
-8.15182524854767,-27.1595111838373,14.63
-8.0963252297893,-26.9673660618127,14.63
-8.04082521103094,-26.7752209397882,14.63
-7.98532519227258,-26.5830758177637,14.63
-7.92982517351422,-26.3909306957392,14.63
-7.87432515475585,-26.1987855737146,14.63
-7.81882513599749,-26.0066404516901,14.63
-7.76332511723913,-25.8144953296656,14.63
-7.70782509848076,-25.622350207641,14.63
-7.6523250797224,-25.4302050856165,14.63
-7.59682506096404,-25.238059963592,14.63
-7.54132504220567,-25.0459148415675,14.63
-7.48582502344731,-24.8537697195429,14.63
-7.43242288233961,-24.6610448266407,14.63
-7.38137979204745,-24.4676679848695,14.63
-7.33033670175528,-24.2742911430982,14.63
-7.27929361146312,-24.080914301327,14.63
-7.22825052117096,-23.8875374595557,14.63
