x,y,z
-11.2185254111249,-33.7885081604086,14.63
-11.2162860383804,-33.5885338681444,14.63
-11.2113413213261,-33.388595003055,14.63
-11.2044096596266,-33.1887367485922,14.63
-11.1898388211984,-32.9892932728538,14.63
-11.1722588769183,-32.7900674071659,14.63
-11.1532059446633,-32.5910068974936,14.63
-11.1261752334442,-32.3928419645438,14.63
-11.0810565542804,-32.1980268938734,14.63
-11.0281590634329,-32.0051894366969,14.63
-10.9732274966663,-31.8128810308157,14.63
-10.9215558701114,-31.619671443155,14.63
-10.8699122410922,-31.4264541158219,14.63
-10.8182686120731,-31.2332367884889,14.63
-10.766624983054,-31.0400194611558,14.63
-10.7149813540349,-30.8468021338227,14.63
-10.6633377250157,-30.6535848064897,14.63
-10.6116940959966,-30.4603674791566,14.63
-10.5600504669775,-30.2671501518235,14.63
-10.5084068379584,-30.0739328244904,14.63
-10.4567632089393,-29.8807154971574,14.63
-10.4051195799201,-29.6874981698243,14.63
-10.353475950901,-29.4942808424912,14.63
-10.3018323218819,-29.3010635151582,14.63
-10.2501886928628,-29.1078461878251,14.63
-10.1985450638437,-28.914628860492,14.63
-10.1469014348245,-28.7214115331589,14.63
-10.0952578058054,-28.5281942058259,14.63
-10.0436141767863,-28.3349768784928,14.63
-9.99197054776716,-28.1417595511597,14.63
-9.94032691874804,-27.9485422238267,14.63
-9.88549760163439,-27.7562080242219,14.63
-9.82999758287603,-27.5640629021974,14.63
-9.77449756411767,-27.3719177801728,14.63
-9.7189975453593,-27.1797726581483,14.63
-9.66349752660094,-26.9876275361238,14.63
-9.60799750784258,-26.7954824140992,14.63
-9.55249748908421,-26.6033372920747,14.63
-9.49699747032585,-26.4111921700502,14.63
-9.44149745156749,-26.2190470480257,14.63
-9.38599743280913,-26.0269019260011,14.63
-9.33049741405076,-25.8347568039766,14.63
-9.2749973952924,-25.6426116819521,14.63
-9.21949737653404,-25.4504665599275,14.63
-9.16399735777567,-25.258321437903,14.63
-9.10849733901731,-25.0661763158785,14.63
-9.05299732025895,-24.874031193854,14.63
-8.99749730150058,-24.6818860718294,14.63
-8.94199728274222,-24.4897409498049,14.63
-8.88777027491847,-24.2972440176228,14.63
-8.83672718462631,-24.1038671758515,14.63
